model,n,mean_parse_ok,mean_slot_coverage,mean_gold_keyword_recall,mean_risk_control_recall,mean_traceability_signal_recall,mean_elapsed_sec
codegemma:7b,240,1.0,1.0,0.3914,0.6177,0.0008,4.4321
granite-code:3b,240,1.0,0.9986,0.3879,0.5417,0.0042,3.2989
granite-code:8b,240,0.9917,0.9917,0.3576,0.5906,0.0083,14.889
llama3.2:3b,240,1.0,1.0,0.357,0.6885,0.0042,6.9127
qwen2.5-coder:1.5b,240,0.95,0.95,0.378,0.6552,0.0133,4.8403
qwen2.5-coder:14b,240,1.0,1.0,0.3973,0.6094,0.0083,7.2961
qwen2.5-coder:3b,240,1.0,1.0,0.3737,0.6521,0.0,4.9701
qwen2.5-coder:7b,240,1.0,1.0,0.3369,0.6531,0.0017,4.6942
qwen2.5:1.5b,240,0.9833,0.9819,0.3742,0.6281,0.005,4.3131
qwen2.5:3b,240,0.9958,0.9875,0.3614,0.674,0.0033,3.2712
qwen2.5:7b,240,1.0,1.0,0.3111,0.5802,0.005,4.3159
qwen3:14b,240,1.0,1.0,0.3592,0.6542,0.01,39.9269
qwen3:8b,240,1.0,1.0,0.3535,0.624,0.0092,12.2571
starcoder2:3b,240,0.1042,0.0965,0.0651,0.1458,0.0733,4.05
starcoder2:7b,240,0.175,0.1736,0.1141,0.225,0.0175,3.4707
